真实值_第1小时,预测值_第1小时,真实值_第2小时,预测值_第2小时,真实值_第3小时,预测值_第3小时
4.9,4.7262306,4.9,4.644373,4.7,4.5260425
4.9,4.642266,4.7,4.5456347,4.6,4.4126344
4.7,4.6030545,4.6,4.498758,4.5,4.36353
4.6,4.4871387,4.5,4.3886347,4.4,4.282857
4.5,4.3921556,4.4,4.2887692,4.3,4.1960483
4.4,4.312614,4.3,4.221265,4.2,4.151184
4.3,4.2552695,4.2,4.208443,4.2,4.1761756
4.2,4.1778464,4.2,4.1807275,4.2,4.2270274
4.2,4.176883,4.2,4.2500257,4.5,4.3265123
4.2,4.2258453,4.5,4.3727255,4.6,4.5019703
4.5,4.265495,4.6,4.3878345,4.7,4.4844484
4.6,4.5124087,4.7,4.5322104,4.7,4.504283
4.7,4.584505,4.7,4.548127,4.6,4.4743876
4.7,4.5231333,4.6,4.454419,4.5,4.3584366
4.6,4.516342,4.5,4.4303713,4.4,4.323787
4.5,4.4181533,4.4,4.327249,4.3,4.2458663
4.4,4.3308215,4.3,4.2423363,4.2,4.17491
4.3,4.263055,4.2,4.181119,4.2,4.1204524
4.2,4.1894655,4.2,4.1411605,4.2,4.109099
4.2,4.1195364,4.2,4.122306,4.4,4.1388845
4.2,4.1711445,4.4,4.2846704,4.6,4.3982635
4.4,4.250905,4.6,4.4040217,4.8,4.5296154
4.6,4.4650025,4.8,4.5860424,4.9,4.6512637
4.8,4.615437,4.9,4.638484,4.8,4.6098037
4.9,4.71367,4.8,4.6878476,4.7,4.6216536
4.8,4.6535754,4.7,4.577983,4.6,4.4663014
4.7,4.57606,4.6,4.48077,4.6,4.3547044
4.6,4.5147247,4.6,4.423186,4.4,4.313072
4.6,4.404127,4.4,4.3054247,4.3,4.216705
4.4,4.3727202,4.3,4.281857,4.2,4.208507
4.3,4.2775865,4.2,4.1931734,4.1,4.1304293
4.2,4.1680946,4.1,4.1390553,4.1,4.123994
4.1,4.1237993,4.1,4.1301947,4.2,4.1967006
4.1,4.1242995,4.2,4.1980076,4.4,4.272649
4.2,4.1400986,4.4,4.2725554,4.6,4.3954144
